عن	על
مع	עם
المنطقة	אזור
المنطقة	מחוז
هي	היא
هي	שלה
عدد	מספר
بين	בן
بين	בין
نوع	מיון
نوع	סוג
سطر	קו
عبد	עבדול
عبد	עבד
محمد	מוחמד
محمد	מהמט
قبل	לפני
خلال	במהלך
خلال	דרך
الصورة	תמונה
الصورة	תדמית
الصورة	התמונה
قدم	פוט
قدم	רגל
العربية	ערבים
العربية	ערבית
القدم	פוט
القدم	רגל
منطقة	אזור
منطقة	מחוז
البلد	מדינה
مدن	ערים
الكلية	מכללה
الكلية	כליה
الكلية	סגל
جامعة	אוניברסיטה
المساحة	אזור
وصلات	קישורים
نقاش	דיון
هناك	שם
منذ	מאז
الحرب	מלחמה
قرية	כפר
رئيس	נשיא
رئيس	המפקדת
رئيس	בוס
الكثافة	עוצמה
الكثافة	צפיפות
عزلة	בידוד
عزلة	בדידות
كتاب	ספר
الرسمي	רשמי
عشر	עשר
سنوات	שנים
يوم	יום
الدين	דת
الدين	חוב
ملف	קובץ
مجلس	מועצה
فيلم	סרט
صورة	תמונה
صورة	תדמית
صورة	התמונה
نباتات	צמחים
خلفية	רקע
جائزة	פרס
فرنسا	צרפת
عقد	שרשרת
عقد	חוזה
رقم	מספר
اليوم	יום
اليوم	היום
يناير	יאן
يناير	ינואר
جنوب	דרומי
جنوب	דרום
فبراير	בפברואר
فبراير	פברואר
يونيو	יוני
شمال	צפונה
شمال	צפון
سبتمبر	ספטמבר
فريق	צוות
الجيش	צבא
نوفمبر	נובמבר
نوفمبر	נוב
ضمن	בתוך
ملعب	אצטדיון
متر	מטר
متر	מטרים
مليون	מיליון
الرئيس	נשיא
الرئيس	המפקדת
الكثير	המון
الكثير	הרבה
ويكيبيديا	ויקיפדיה
العزلة	בידוד
العزلة	בדידות
زوجي	בעלי
وسط	סנטרל
وسط	אמצע
المغرب	מרוקו
حرب	מלחמה
القاهرة	קהיר
وقت	זמן
سوريا	סוריה
سوريا	סורי
الجمهورية	רפובליקה
المعلومات	מידע
العرب	ערבים
حركة	תנועה
المقاطعة	המחוז
المقاطعة	נפה
المقاطعة	מחוז
المقاطعة	חרם
المناطق	אזורים
المناطق	מחוזות
لغة	שפה
معركة	קרב
الجزء	חלק
الجزء	מקטע
قناة	התעלה
قناة	ערוץ
علماء	מדענים
مناطق	אזורים
شهر	חודש
سلسلة	סדרה
سلسلة	שרוך
سلسلة	שרשרת
جديدة	חדש
جزيرة	אי
جمهورية	רפובליקה
لبنان	לבנון
الدم	דם
شركات	תאגידים
شركات	חברות
مستوى	רמה
يتيمة	יתום
حسين	חוסיין
عين	עיניים
عين	עין
معلومات	מידע
العلم	מדע
العلم	הדגל
مجلة	מגזין
المسلمين	מוסלמים
العاصمة	הון
الحركة	תנועה
الحركة	פעולה
الطاقة	אנרגיה
الطاقة	כוח
جنس	מין
عنوان	כתובת
عنوان	כותרת
الشمس	השמש
جزء	חלק
الهند	הודו
مقالات	מאמרים
مقالات	חיבורים
اليابان	יפן
الجديد	חדש
سبب	הסיבה
سبب	סיבה
ذكور	זכרים
ذكور	זכר
روسيا	רוסייה
روسيا	רוסיה
شخصية	אישית
شخصية	תו
شخصية	אישיות
المقالات	מאמרים
المقالات	חיבורים
جديد	חדש
صغيرة	קטן
السلام	שלום
دمشق	דמשק
بغداد	בגדד
المدن	ערים
كثير	הרבה
الجنسية	לאום
الجنسية	מיניות
الجنسية	אזרחות
موسم	עונה
بلديات	עיריות
قانون	חוק
حكومة	ממשלה
لندن	לונדון
مصدر	מקור
ثورة	מהפכה
حقوق	זכויות
ذكر	זכר
الجنوب	דרום
وزير	שר
جزر	האיים
جزر	גזר
يد	יד
سعود	סעוד
الداخلية	פנים
الداخلية	פנימית
جدا	מאוד
كاليفورنيا	קליפורניה
قاعدة	בסיס
قاعدة	כלל
البحرين	בחריין
الدفاع	הגנה
التالية	הבא
الثالثة	שלישי
شبكة	רשת
شبكة	הרשת
عائلة	משפחה
المستخدم	משתמש
برامج	תוכנה
برامج	תוכניות
العلماء	מדען
العلماء	מדענים
رواية	רומן
عمليات	פעולות
عمليات	תהליכים
النشاط	פעילות
مصادر	מקורות
البعض	כמה
طائرة	מטוס
طائرة	מישור
مسلسلات	סדרה
الموسم	עונה
توضيح	הבהרה
توضيح	פירושונים
توضيح	הסבר
مرض	מחלה
سلطنة	סולטנות
الثقافة	תרבות
نقطة	נקודה
قبيلة	שבט
النباتات	צמחים
عشرة	עשר
النساء	נשים
مستخدم	משומש
مستخدم	משתמש
عالية	גבוה
ويكي	ויקי
طويلة	גבוה
طويلة	ארוך
الكتب	ספרים
بيروت	ביירות
الخلايا	תאים
عامة	ציבורית
عامة	כללי
الحدود	גבולות
الحدود	גבול
هولندا	הולנד
كندا	קנדה
سورة	סורה
السورية	סורי
عاصمة	הון
محطة	טרמינל
محطة	תחנה
الوصول	הגעה
الوصول	תפוצה
الوصول	גישה
سابق	קודמת
سابق	לשעבר
قطر	קטאר
بريطانيا	בריטניה
بريطانيا	בריטים
القدس	ירושלים
العدد	רוזן
العدد	מספר
الرياض	ריאד
التالي	הבא
تكساس	טקסס
السينما	קולנוע
كنيسة	כנסיה
اليد	יד
نقاط	נקודות
نقاط	קרדיטים
معهد	מכון
روابط	קישורים
مجموعات	אוספים
مجموعات	קבוצות
كوريا	קוריאנית
كوريا	קוריאה
وصف	תאר
وصف	תיאור
المحلات	חנויות
فكرة	רעיון
كيف	איך
لعبة	משחק
الكويكب	אסטרואיד
لون	צבע
لون	לון
ليبيا	לוב
منظمات	ארגוני
منظمات	ארגונים
مكة	מכה
ثقافة	תרבות
المصادر	מקורות
بكر	בכר
مادة	חומר
المتوسط	ממוצע
المتوسط	בינוני
تحويلات	המרות
تحويلات	העברות
جيش	צבא
طالب	סטודנט
جوائز	פרסים
المشاركة	השיתוף
المشاركة	לשתף
المشاركة	משתתפים
المشاركة	השתתפות
الجوائز	פרסים
حلب	חאלב
ثاني	שניה
المرض	מחלה
الثامن	שמינית
الثامن	השמיני
لغات	שפות
ويب	ווב
ويب	אינטרנט
المستوى	רמה
سورية	סוריה
سورية	סורי
قصيرة	קצר
عباس	עבאס
الهندسة	גאומטריה
الهندسة	הנדסה
الصحة	בריאות
الشركات	תאגידים
الشركات	חברות
الشركات	תאגיד
العمليات	פעולות
العمليات	מבצע
سويسرا	שוויץ
مدريد	מדריד
الانتخابات	בחירות
دقيقة	דקה
فرع	ענף
السنوات	שנים
نائب	סגן
سابقة	קידומת
سابقة	תקדים
سابقة	קודמת
سيارات	מכוניות
الطلاب	סטודנטים
روما	רומא
اللغات	שפות
البرازيل	ברזיל
البرازيل	ברזילאית
العين	עין
روايات	רומנים
فارس	אביר
فارس	פארס
فيصل	פייסל
السياسة	מדיניות
السياسة	פוליטיקה
مكتبة	ספריה
تاريخية	היסטורי
تاريخية	היסטורית
البلدان	מדינות
بلد	מדינה
وخاصة	במיוחד
طاقة	אנרגיה
طاقة	כוח
ربما	אולי
النار	אש
حماية	להגן
حماية	הגנה
جغرافيا	גיאוגרפית
جغرافيا	גאוגרפיה
رمضان	רמדאן
يحيى	יחיא
هندسة	גאומטריה
هندسة	הנדסה
دير	דיר
دير	מנזר
دير	דר
ستة	שש
التهاب	דלקת
صلاح	סלאח
الماضي	העבר
هنري	הנרי
ضغط	לחץ
المكان	מקום
المكان	המקום
المكان	המיקום
مؤتمر	ועידה
ميشيغان	מישיגן
سينما	קולנוע
البرلمان	פרלמנט
ريال	ריאל
ريال	סאר
معرفة	מכר
معرفة	ידע
الزراعة	חקלאות
المعروفة	ידוע
الزمن	זמן
البرامج	תוכנה
البرامج	תוכניות
الكتابة	תכתבי
الكتابة	הקלדה
الكتابة	כתיבה
البرتغال	פורטוגל
قوائم	רשימות
معروف	ידוע
السوري	סורי
دخل	הכנסה
رتبة	דרגה
لوس	לוס
نتائج	תוצאות
النجوم	כוכבים
خطوط	גופנים
خطوط	קווים
زمن	זמן
بحيرة	אגם
خان	חאן
واشنطن	וושינגטון
وحدات	יחידות
وحدات	מודולים
التركية	טורקית
المصدر	מקור
قادة	המפקדים
قادة	מנהיגים
سلة	סל
المعرفة	ידע
برج	מגדל
توزيع	הפצה
توزيع	להפיץ
الديمقراطية	דמוקרטיה
دبي	דובאי
نجم	כוכב
الخطوط	גופנים
الخطوط	קווים
المؤسسات	מוסדות
النص	טקסט
