and	そして
this	この
this	これ
also	also
also	また
page	ページ
article	記事
article	冠詞
score	スコア
score	得点
when	いつ
when	とき
time	タイム
time	時間
team	チーム
see	見る
school	学校
school	スクール
world	世界
world	ワールド
university	大学
wikipedia	wikipedia
wikipedia	ウィキペディア
where	どこ
these	これらの
these	これら
war	戦争
link	リンク
list	リスト
name	名前
name	氏名
name	名称
history	履歴
history	由緒
history	歴史
history	沿革
work	作業
work	仕事
work	ワーク
season	季節
season	シーズン
high	ハイ
high	高い
comments	コメント
music	ミュージック
music	音楽
century	世紀
century	センチュリー
league	リーグ
edits	編集
title	肩書
title	称号
title	タイトル
articles	記事
articles	冠詞
same	同じ
same	おなじ
including	含む
english	イングリッシュ
english	英語
album	アルバム
family	家族
york	ヨーク
game	ゲーム
club	クラブ
club	棍棒
early	アーリー
early	早い
company	会社
don	ドン
place	place
place	場所
place	スポット
party	パーティ
party	パーティー
college	カレッジ
college	大学
result	結果
class	階級
class	クラス
government	政府
style	スタイル
back	戻る
back	後ろ
back	背中
back	裏側
www	www
games	ゲーム
former	前者
church	チャーチ
church	教会堂
church	教会
image	画像
image	イメージ
women	女性
television	テレビ
member	メンバ
member	会員
member	メンバー
goals	ゴール
goals	目標
sources	ソース
sources	出典
old	古い
old	オールド
information	情報
set	集合
set	セット
band	band
band	バンド
language	言語
french	フレンチ
french	フランス語
off	オフ
service	サービス
population	人口
air	空気
air	航空
air	エア
german	ドイツ語
clubs	クラブ
park	パーク
park	公園
london	ロンドン
small	小さな
small	スモール
small	小さい
player	プレイヤー
player	プレーヤー
community	コミュニティ
community	コミュニティー
held	開催
large	大きい
deletion	削除
free	フリー
free	無料
free	自由
association	社団
association	協会
association	アソシエーション
given	与えられた
version	バージョン
media	メディア
report	レポート
report	報告
building	建物
comment	コメント
edit	編集
stadium	スタジアム
research	研究
research	リサーチ
record	レコード
record	記録
archive	書庫
archive	アーカイブ
places	場所
places	スポット
cup	カップ
cup	コップ
cup	cup
education	教育
education	学歴
category	カテゴリー
category	区分
category	カテゴリ
category	分類
near	付近
near	近く
australia	オーストラリア
video	ビデオ
video	動画
play	遊ぶ
play	プレイ
play	遊び
project	プロジェクト
works	ワークス
works	作品
development	発達
development	開発
india	インド
court	法廷
court	コート
court	裁判所
region	リージョン
region	地域
short	短い
short	ショート
son	息子
france	フランス
street	ストリート
street	通り
help	ヘルプ
james	ジェームス
james	ジェームズ
canada	カナダ
george	ジョージ
level	レベル
late	遅い
society	社会
office	事務局
office	事務所
office	オフィス
file	ファイル
reason	理由
reason	理性
america	アメリカ
million	ミリオン
million	million
million	百万
young	若い
young	ヤング
david	デイヴィッド
david	ダビデ
david	デビッド
david	デヴィッド
science	サイエンス
science	科学
railway	鉄道
students	生徒
students	学生
news	news
news	ニュース
role	役割
election	選任
election	選挙
albums	アルバム
kingdom	王国
run	run
run	ラン
run	走り
run	走る
schools	学校
schools	流派
program	プログラム
germany	ドイツ
production	製作
production	生産
production	プロダクション
points	ポイント
enough	十分
data	データ
services	サービス
museum	美術館
museum	博物館
sports	スポーツ
date	デート
date	日付
yes	はい
robert	ロベルト
robert	ロベール
robert	ロバート
fact	事実
japanese	日本人
japanese	ジャパニーズ
japanese	日本語
groups	グループ
content	コンテンツ
content	内容
japan	日本
control	コントロール
human	ヒト
human	ヒューマン
human	人間
half	半分
half	ハーフ
events	イベント
events	行事
washington	ワシントン
start	開始
start	始める
start	スタート
action	アクション
china	中国
china	チャイナ
paul	ポール
paul	パウル
far	far
far	遠く
far	遠い
minister	公使
minister	大臣
married	既婚
europe	欧州
europe	ヨーロッパ
author	作家
author	著者
author	作者
teams	チーム
low	低い
michael	ミヒャエル
michael	マイケル
pages	ページ
big	大きな
big	大きい
big	ビッグ
want	欲しい
episode	エピソード
republic	共和制
republic	共和国
thomas	トマス
thomas	トーマス
route	経路
route	ルート
someone	誰か
police	警察官
police	ポリス
police	警察
users	ユーザー
users	ユーザ
template	テンプレート
question	質問
question	疑問
texas	テキサス
chief	チーフ
match	マッチ
match	一致
tour	ツアー
health	健康
rights	権利
evidence	証拠
aircraft	航空機
aircraft	飛行機
arts	arts
arts	芸術
range	範囲
range	レンジ
problem	問題
issues	問題
average	平均
network	ネットワーク
win	win
win	勝利
win	勝ち
win	勝つ
magazine	マガジン
magazine	雑誌
ireland	アイルランド
today	トゥデイ
today	今日
academy	アカデミー
self	セルフ
self	自己
africa	アフリカ
culture	文化
culture	カルチャー
female	女性
course	コース
chinese	中国語
chinese	中国人
festival	フェスティバル
festival	祭事
festival	祭り
festival	お祭り
basketball	バスケ
basketball	バスケットボール
performance	パフォーマンス
performance	性能
performance	興行
standard	基準
standard	スタンダード
standard	標準
means	手段
give	与える
give	give
artist	芸術家
artist	アーティスト
word	ワード
word	言葉
word	単語
word	word
private	非公開
private	プライベート
artists	芸術家
artists	アーティスト
baseball	ベースボール
baseball	野球
technology	技術
technology	テクノロジー
future	フューチャー
future	未来
future	将来
images	画像
images	イメージ
quality	品質
quality	クオリティ
quality	画質
quality	quality
model	モデル
despite	にもかかわらず
read	読み
read	読み込み
read	読み取り
read	読む
material	素材
material	材料
material	マテリアル
strong	強い
strong	濃い
coach	コーチ
coach	コーチング
henry	ヘンリー
organization	団体
organization	組織
richard	リチャード
richard	リヒャルト
attack	攻撃
attack	進撃
conference	カンファレンス
conference	会議
study	勉強
brother	兄弟
brother	ブラザー
writer	作家
writer	ライター
characters	文字
characters	キャラクター
musical	ミュージカル
past	過去
medal	メダル
largest	最大
label	ラベル
especially	特に
library	図書館
library	ライブラリ
management	経営
management	マネジメント
management	マネージメント
management	管理
references	参考文献
references	参照
references	リファレンス
navy	海軍
navy	ネイビー
guitar	ギター
debut	デビュー
always	常に
always	いつも
actor	俳優
natural	自然
natural	ナチュラル
clear	クリア
coast	海岸
chicago	シカゴ
championships	選手権
lists	リスト
paris	パリス
paris	パリ
needs	ニーズ
florida	フロリダ
capital	資本
capital	首都
capital	キャピタル
bank	バンク
bank	銀行
ground	地面
ground	グラウンド
italy	イタリア
energy	エネルギー
believe	信じる
believe	believe
believe	信ずる
leader	リーダー
online	オンライン
block	ブロック
writers	作家
professor	教授
studio	スタジオ
mexico	メキシコ
competition	競技
competition	コンペ
competition	競争
competition	コンペティション
competition	コンテスト
campaign	キャンペーン
theatre	演劇
theatre	劇場
empire	帝国
empire	帝政
empire	エンパイア
soviet	ソビエト
market	市場
market	マーケット
words	言葉
words	単語
hockey	ホッケー
hockey	アイスホッケー
novel	小説
code	コード
code	符号
sport	スポーツ
van	バン
van	ヴァン
mary	メアリ
mary	メアリー
airport	空港
child	子供
child	児童
problems	問題
native	ネイティブ
parliament	議会
parliament	国会
minor	マイナー
foundation	財団
foundation	ファンデーション
foundation	ファウンデーション
movie	映画
movie	ムービー
student	生徒
student	学生
governor	知事
vocals	ボーカル
theory	セオリー
theory	理論
account	口座
account	アカウント
carolina	カロライナ
tournament	トーナメント
poland	ポーランド
wales	ウェールズ
hospital	病院
editing	編集
food	食べ物
food	料理
food	食品
templates	テンプレート
money	お金
money	貨幣
money	マネー
money	金銭
politician	政治家
required	必須
commercial	コマーシャル
commercial	商用
commercial	商業
contains	含む
sun	太陽
sun	sun
rugby	ラグビー
earth	地球
earth	アース
access	アクセス
seasons	季節
seasons	シーズン
software	ソフトウエア
software	ソフトウェア
hours	時間
running	走る
running	ランニング
structure	構造
structure	構成
spain	スペイン
web	web
web	ウェブ
louis	ルイス
louis	ルイ
queen	女王
queen	クイーン
ohio	オハイオ
owned	所有
russia	ロシア
staff	スタッフ
goal	ゴール
bad	バッド
bad	悪い
attendance	出席
attendance	傍聴
nature	ネイチャー
nature	自然
captain	隊長
captain	キャプテン
mount	マウント
structures	構造
elections	選挙
meet	meet
meet	会う
success	サクセス
success	成功
rest	安静
rest	休む
particularly	特に
admin	管理者
admin	管理人
commission	手数料
commission	コミッション
commission	委嘱
nomination	指名
jersey	ジャージー
feature	機能
feature	フィーチャー
feature	特徴
engine	エンジン
response	応答
response	レスポンス
experience	エクスペリエンス
experience	体験
experience	経験
secretary	秘書
recording	記録
recording	レコーディング
recording	録音
scotland	スコットランド
room	部屋
room	ルーム
drama	ドラマ
scores	スコア
occupation	占領
occupation	職業
executive	エグゼクティブ
plant	プラント
plant	植物
languages	言語
internet	インターネット
feel	感じる
feel	feel
feel	フィール
merge	マージ
merge	統合
property	プロパティ
property	財産
programs	演目
programs	プログラム
fiction	フィクション
majority	過半数
edward	エドワード
digital	デジタル
profile	プロフィール
profile	プロファイル
pacific	パシフィック
transport	輸送
transport	交通
recently	最近
global	global
global	グローバル
era	時代
opinion	意見
opening	開く
opening	オープニング
purpose	目的
activities	アクティビティ
activities	活動
massachusetts	マサチューセッツ
bass	バス
bass	ベース
academic	アカデミック
accounts	アカウント
entry	エントリー
entry	エントリ
asia	アジア
meaning	意味
actress	女優
actress	俳優
map	地図
map	マップ
boston	ボストン
literature	文学
literature	文芸
justice	正義
champion	チャンピオン
columbia	コロンビア
jones	ジョーンズ
parish	教区
israel	イスラエル
actors	俳優
table	テーブル
pop	ポップ
pop	pop
newspaper	新聞紙
newspaper	新聞
friend	友人
friend	友だち
friend	フレンド
friend	友達
winner	勝者
winner	ウィナー
chart	チャート
loss	損失
loss	喪失
sites	サイト
architecture	アーキテクチャ
architecture	建築
relations	リレーション
relations	関係
contract	契約
girl	ガール
girl	少女
girl	女の子
junior	ジュニア
politics	政治
cause	原因
candidate	候補者
candidate	候補
surface	表面
surface	曲面
victory	勝利
regiment	連隊
weeks	週間
communities	コミュニティ
victoria	ビクトリア
victoria	ヴィクトリア
frank	フランク
miles	マイル
mass	ミサ
mass	質量
knowledge	知識
officers	役員
faculty	学部
faculty	教職員
camp	camp
camp	キャンプ
owner	オーナー
owner	所有者
heavy	重い
heavy	ヘビー
episodes	エピソード
williams	ウィリアムズ
dark	ダーク
dark	暗い
religion	宗教
scott	スコット
jean	ジャン
jean	ジーン
mayor	町長
mayor	市長
pro	プロ
pro	pro
descent	降下
latter	後者
cast	出演
cast	キャスト
cast	ギプス
write	書き込み
write	書く
write	書き込む
forms	フォーム
forms	形態
joe	ジョー
solid	固体
individuals	個人
authority	権威
authority	権限
authority	職権
mention	言及
projects	プロジェクト
del	del
del	デル
drive	ドライブ
johnson	ジョンソン
reasons	理由
job	職業
job	仕事
job	ジョブ
photo	フォト
photo	写真
hope	ホープ
hope	希望
mike	マイク
oxford	オックスフォード
opera	opera
opera	オペラ
technical	テクニカル
musicians	ミュージシャン
hotel	ホテル
crew	クルー
boy	男の子
boy	少年
boy	ボーイ
ontario	オンタリオ
wiki	wiki
wiki	ウィキ
champions	チャンピオンズ
champions	チャンピオン
golden	ゴールデン
golden	黄金
faith	信仰
faith	信念
faith	フェイス
mainly	主に
soccer	サッカー
creation	創造
creation	作成
marriage	結婚
marriage	婚姻
forward	進む
forward	フォワード
forward	転送
peace	ピース
peace	平和
iran	イラン
korea	朝鮮
korea	韓国
cricket	クリケット
cricket	コオロギ
judge	ジャッジ
judge	裁判官
campus	キャンパス
brazil	ブラジル
remaining	残り
remaining	残額
broadcast	放送
broadcast	配信
broadcast	ブロードキャスト
piano	ピアノ
novels	小説
attacks	攻撃
politicians	政治家
difficult	難しい
ability	能力
host	ホスト
host	主催
pakistan	パキスタン
interview	面接
