year	mwaka
moon	mwezi
month	mwezi
and	na
big	kubwa
he	yeye
one	moja
but	lakini
also	pia
message	ujumbe
three	tatu
near	karibu
west	magharibi
province	mkoa
card	kadi
two	mbili
district	wilaya
four	nne
government	serikali
south	kusini
five	tano
gold	dhahabu
peak	kilele
tower	mnara
first	kwanza
six	sita
main	kuu
second	pili
mountain	mlima
mount	mlima
hill	mlima
space	nafasi
sex	ngono
sea	bahari
ocean	bahari
this	hii
edition	toleo
version	toleo
north	kaskazini
politics	siasa
star	nyota
she	yeye
river	mto
culture	utamaduni
horse	farasi
formal	rasmi
outside	nje
different	tofauti
ball	mpira
water	maji
genus	jenasi
wave	wimbi
you	wewe
east	mashariki
week	wiki
stone	jiwe
international	kimataifa
award	tuzo
music	muziki
sand	mchanga
car	gari
chinese	kichina
harbour	bandari
series	mfululizo
flower	ua
game	mchezo
language	lugha
content	maudhui
system	mfumo
champion	bingwa
please	tafadhali
name	jina
list	orodha
above	juu
album	albamu
half	nusu
news	habari
female	kike
door	mlango
history	historia
song	wimbo
leather	ngozi
nine	tisa
hand	mkono
heart	moyo
hearts	moyo
bus	basi
dollar	dola
democracy	demokrasia
temple	hekalu
although	ingawa
though	ingawa
seven	saba
mouth	mdomo
edit	hariri
singer	mwimbaji
shop	duka
twenty	ishirini
professor	profesa
source	chanzo
eight	nane
century	karne
ticket	tiketi
relationship	uhusiano
ability	uwezo
capability	uwezo
website	tovuti
personal	binafsi
student	mwanafunzi
town	mji
southern	kusini
direction	mwelekeo
even	hata
society	jamii
railway	reli
alliance	muungano
coalition	muungano
average	wastani
again	tena
net	wavu
asia	asia
northern	kaskazini
grass	nyasi
record	rekodi
election	uchaguzi
law	sheria
revolution	mapinduzi
body	mwili
team	timu
left	kushoto
economics	uchumi
economy	uchumi
hundred	mia
wide	pana
soldier	askari
minute	dakika
policy	sera
silver	fedha
ordinary	kawaida
republic	jamhuri
president	rais
tail	mkia
large	kubwa
crown	taji
snow	theluji
cow	ng'ombe
fire	moto
early	mapema
technology	teknolojia
graduate	mhitimu
rich	tajiri
thousand	elfu
we	sisi
situation	hali
train	treni
father	baba
physics	fizikia
weapon	silaha
cloud	wingu
novel	riwaya
wind	upepo
valley	bonde
religion	dini
england	uingereza
art	sanaa
parish	parokia
recommendation	pendekezo
base	msingi
more	zaidi
blue	bluu
strength	nguvu
ten	kumi
bank	benki
africa	afrika
russia	urusi
flag	bendera
planet	sayari
thirty	thelathini
church	kanisa
police	polisi
silk	hariri
entertainment	burudani
word	neno
conference	mkutano
meeting	mkutano
project	mradi
player	mchezaji
hour	saa
dynasty	nasaba
molecule	molekuli
platform	jukwaa
parliament	bunge
picture	picha
sword	upanga
market	soko
bridge	daraja
typhoon	kimbunga
minister	waziri
army	jeshi
electricity	umeme
science	sayansi
spirit	roho
environment	mazingira
ice	barafu
airplane	ndege
sun	jua
hall	ukumbi
eye	jicho
