dengan	עם
juga	גם
indonesia	אינדונזיה
bagian	מקטע
bagian	חלק
bagian	מחלקות
bagian	חלקים
seperti	כמו
desa	הכפרים
desa	כפר
kayu	עץ
kayu	קרשים
bahasa	שפות
bahasa	שפה
film	סרטים
film	סרט
negara	מדינות
negara	מדינה
daftar	רשימה
baru	חדש
antara	אנטרה
antara	בין
wilayah	אזור
wilayah	אזורים
wilayah	שטחים
wilayah	טריטוריה
selatan	דרומי
selatan	דרום
september	ספטמבר
lagu	שיר
lagu	שירים
utara	צפונה
utara	צפון
daerah	אזורים
daerah	מחוז
daerah	אזור
daerah	המחוז
daerah	מקטע
hari	יום
hari	ימים
hingga	עד
sampai	עד
sangat	מאוד
sangat	בחוזקה
jepang	יפן
jepang	יפני
panjang	אורך
panjang	ארוך
kedua	שנית
kedua	שניה
tengah	סנטרל
tengah	המרכז
tengah	אמצע
sejak	מאז
inggris	באנגליה
inggris	אנגלית
sudah	כבר
tinggi	גבוה
tinggi	גובה
waktu	זמן
jenis	סוג
jenis	הסוגים
departemen	מחלקה
departemen	מחלקות
situs	אתר
situs	אתרים
dikenal	זוהה
dikenal	מזוהה
dikenal	ידוע
resmi	רשמי
resmi	מורשה
perang	לוחמה
perang	מלחמה
perang	המלחמות
pulau	אי
pulau	האיים
universitas	אוניברסיטאות
universitas	אוניברסיטה
seed	זרע
presiden	נשיא
new	חדש
kecil	קטן
kecil	קטין
kecil	זעירה
menteri	מזכיר
menteri	שר
menteri	שרים
lagi	שוב
lagi	עוד
sebelum	לפני
april	אפריל
perancis	צרפתי
perancis	צרפת
cukup	מספיק
januari	ינואר
musim	עונה
musim	עונות
pemerintah	ממשלות
pemerintah	ממשלה
setiap	כל
kirk	קירק
juni	יוני
agustus	אוגוסט
agustus	אוג
sumber	מקור
sumber	מקורות
sejarah	היסטורית
sejarah	היסטוריה
gereja	כנסיות
gereja	כנסיה
dasar	בסיס
dasar	בסיסי
november	נובמבר
bicara	דבר
bicara	לדבר
stasiun	תחנה
stasiun	תחנות
akhirnya	לבסוף
akhirnya	סופסוף
bernama	בשם
proses	תהליך
proses	תהליכים
pemerintahan	ממשלה
pemerintahan	ממשל
pemerintahan	ממשלות
republik	רפובליקני
republik	רפובליקה
buku	ספר
buku	ספרים
keluarga	משפחות
keluarga	משפחה
pengguna	משתמשים
pengguna	משתמש
korea	קוריאנים
korea	קוריאנית
korea	קוריאה
agama	דת
agama	דתיות
agama	דתות
india	הודית
india	הודו
eropa	אירופה
eropa	האירופאים
eropa	אירופאית
wikipedia	ויקיפדיה
hukum	חוק
hukum	חוקי
orbit	מסלולית
orbit	מסלול
diterbitkan	הוציא
diterbitkan	פורסם
http	http
bangsa	עמים
bangsa	אומה
terkenal	מפורסם
terkenal	לשמצה
meskipun	למרות
bintang	כוכב
bintang	כוכבים
apa	מה
sumatera	סומטרה
sesuatu	משהו
tingkat	דרג
tingkat	רמות
tingkat	רמה
ruang	חדר
ruang	חלל
ekonomi	כלכלה
ekonomi	כלכלי
organisasi	ארגון
organisasi	ארגוני
bahan	המרכיבים
bahan	חומר
bahan	חומרי
api	אש
api	api
api	להבה
api	אפיס
ilmiah	מדעי
isbn	isbn
angkatan	כוח
angkatan	רמה
history	היסטוריה
berkas	קבצים
berkas	קובץ
bekerja	עבודה
bekerja	עובדת
bekerja	פועל
asia	אסייתית
asia	אסיה
italia	איטליה
italia	איטלקית
kaki	רגל
kaki	פוט
kaki	רגלי
rakyat	עממית
rakyat	אנשים
informasi	מידע
makanan	מזון
makanan	ארוחות
web	אינטרנט
wanita	גברות
wanita	אשה
wanita	נשים
juta	מיליון
juta	מליונים
university	אוניברסיטה
ketiga	שלישית
ketiga	שלישי
nya	שלו
nya	בו
nya	שלה
nomor	מספר
nomor	מספרים
juara	אלוף
juara	אלופים
rusia	רוסייה
rusia	רוסיה
rusia	רוסים
mata	עיניים
mata	עין
mata	מאטה
bahkan	אפילו
kitab	ספר
distrik	מחוזות
distrik	מחוז
perempuan	אשה
perempuan	נקבות
perempuan	נשי
perempuan	נשים
piala	גביע
minor	קטין
