年	taon
月	buwan
和	at
村	nayon
一	isa
留言	mensahe
市	lungsod
市	munisipalidad
站	estasyon
站	tumayo
一个	isa
卡	baraha
卡	card
区	zone
区	distrito
区	lugar
四	apat
政府	pamahalaan
台湾	taiwan
世界	mundo
南	nan
南	timog
南	nam
林肯	lincoln
元	meta
元	yuan
元	dolyar
元	nanalo
中国	tsina
六	anim
主要	major
主要	pangunahing
城	lungsod
城	mangarap
第二	pangalawa
山	bundok
山	burol
成为	maging
公里	kilometres
公里	kilometro
这	ito
大学	unibersidad
大学	university
大学	college
星	bituin
星	stars
河	ilog
文化	kultura
马	kabayo
电影	pelikula
电影	sinehan
电影	movies
龙	dragons
龙	baga
龙	dragon
女	babae
北京	beijing
北京	peking
足球	soccer
足球	football
国家	states
国家	bansa
国家	state
国家	national
国家	bansang
球	bola
但是	ngunit
街	kalye
城市	lungsod
水	tubig
上海	shanghai
属	genus
鱼	isda
你	ikaw
东	silangan
东	dong
周	linggo
周	chow
沙	sha
沙	buhangin
沙	shah
他们	sila
光	liwanag
光	hikari
港	harbor
港	daungan
港	harbour
江	ilog
江	jiang
台湾	taiwanese
地方	lugar
地方	places
花	hana
花	bulaklak
版本	bersyon
版本	edisyon
语	wika
内容	nilalaman
出版	inilathala
出版	paglalathala
出版	publikasyon
刘	yoo
刘	liu
刘	lau
岛	isla
岛	pulo
率	rate
名称	pangalan
印度	india
街道	kalye
卡特	carter
机	makina
西班牙	espanya
页	pahina
圣	santo
半	kalahati
成员	miyembro
东京	tokyo
新闻	balita
剧	drama
女性	babae
女性	kababaihan
门	gate
门	pinto
历史	kasaysayan
歌曲	kanta
歌曲	awitin
植物	halaman
植物	planta
而且	at
九	siyam
学校	paaralan
信	letra
信	sulat
湖	lawa
巴士	bus
天文台	obserbatoryo
歌	kanta
歌	awitin
美元	dolyar
民主	demokrasya
寺	templo
控制	kontrol
控制	pagkontrol
战	labanan
战	digmaan
路线	ruta
伦	lun
店	shop
店	tindahan
杯	tasa
不过	ngunit
女子	babae
世纪	siglo
能力	kapasidad
能力	kakayahang
能力	kakayahan
能力	kapabilidad
佛	buddha
模板	template
学生	estudyante
学生	studyante
南部	katimugang
南部	timog
语言	wika
巴西	brazil
社会	lipunan
社会	panlipunan
加拿大	canada
欧洲	europa
欧洲	europeo
网	web
网	network
网	net
亚洲	asyano
亚洲	asya
名字	pangalan
战争	digmaan
战争	wars
红	pula
玉	jade
原因	dahilan
原因	sanhi
选举	halalan
选举	eleksyon
法律	batas
郑	zheng
郑	jeong
郑	jung
蔡	tsai
蔡	cai
蔡	choy
蔡	chae
单位	units
单位	yunit
流	streaming
流	daloy
流	streams
流	batis
蒙古	mongolia
体	katawan
自然	natural
自然	likas
自然	kalikasan
台北	taipei
经济	economics
经济	ekonomiya
杰	jie
杰	jay
分钟	minuto
政策	patakaran
共和国	republika
理由	dahilan
总统	pangulo
标准	pamantayan
标准	criterion
冠	korona
土	dumi
土	lupa
天津	tianjin
技术	teknikal
技术	pamamaraan
技术	teknolohiya
威廉	william
天主教	katolisismo
天主教	katoliko
皇帝	emperador
潘	pam
潘	pan
列车	tren
环	ring
环	singsing
环	loop
秒	seconds
秒	pangalawa
秒	sec
云	ulap
云	yun
小说	nobela
小说	nobelang
小说	fiction
风	hangin
谷	lambak
谷	tani
魏	wei
巴黎	paris
改革	reporma
改革	reformed
教区	parokya
教区	diocese
建议	advice
建议	rekomendasyon
建议	mungkahi
建议	proposal
四川	sichuan
曹	cao
韦	wei
影片	films
影片	pelikula
影片	video
身份	identities
身份	pagkakakilanlan
船	barko
船	bangka
意见	opinyon
意见	comments
银行	pampang
银行	bangko
媒体	media
西藏	tibet
行星	planeta
行星	planetary
行星	planets
北海道	hokkaido
伦敦	london
范围	saklaw
教堂	simbahan
教堂	iglesia
赵	zhao
赵	cho
娱乐	paglilibang
娱乐	alang
娱乐	nakakaaliw
娱乐	libangan
词	salitang
词	salita
宫	palasyo
速	bilis
会议	conference
会议	pagpupulong
会议	miting
信息	impormasyon
项目	project
项目	proyekto
项目	item
计算机	kompyuter
创作	paglikha
创作	creative
湖南	hunan
剑	espada
剑	tabak
投	cast
投	itayo
地点	lugar
地点	kinalalagyan
地点	places
大臣	ministro
陆军	hukbo
乌克兰	ukraine
九龙	kowloon
佛教	budismo
佛教	budista
环境	kapaligiran
河南	henan
冰	yelo
飞机	eroplano
飞机	plane
飞机	airplane
深圳	shenzhen
瑞典	sweden
福建	fujian
眼	mata
妻子	asawa
秋	taglagas
南方	katimugang
南方	timog
公民	civic
公民	mamamayan
燕	lunukin
燕	yan
排	platoon
排	hilera
朋友	kaibigan
油	langis
医院	hospital
医院	ospital
瑞士	switzerland
酒店	otel
酒店	hotel
任务	assignment
任务	gawain
任务	misyon
诗	tula
葡萄牙	portuguese
葡萄牙	portugal
乔	joe
坦克	tank
坦克	tangke
姓	apelyido
新疆	xinjiang
品牌	tatak
品牌	branding
军队	hukbo
镜	salamin
地震	lumindol
地震	lindol
舞	sayaw
舞	sayawan
荷兰	netherlands
结构	istruktura
结构	architecture
结构	istraktura
埃及	ehipto
字母	alpabeto
字母	letra
字母	sulat
海岸	shore
海岸	baybayin
阮	nguyễn
阮	nguyen
大阪	osaka
北京市	beijing
王子	prinsipe
夜	nights
夜	gabi
乘客	pasahero
蛇	ahas
蛇	snakes
德里	delhi
袁	yuan
耳	tainga
耳	tenga
轮	gulong
轮	round
